"","offset","location","condition","realism","response"
"595",300,0,17,"real",1
"596",100,0,17,"real",2
"597",300,1,17,"real",8
"598",300,0,4,"unreal",5
"599",0,0.5,17,"real",8
"600",300,0.5,17,"real",1
"601",400,1,17,"real",7
"602",0,0,17,"real",9
"603",400,0,4,"unreal",6
"604",0,1,17,"real",9
"605",200,0,17,"real",7
"606",100,0.5,17,"real",7
"607",100,0.5,4,"unreal",8
"608",400,0.5,17,"real",5
"609",300,0,4,"unreal",5
"610",0,1,4,"unreal",9
"611",300,0,17,"real",6
"612",0,0.5,4,"unreal",9
"613",100,0,4,"unreal",8
"614",200,0,4,"unreal",6
"615",100,0,17,"real",7
"616",300,0.5,4,"unreal",6
"617",200,1,17,"real",5
"618",400,0.5,4,"unreal",4
"619",100,1,4,"unreal",8
"620",200,0.5,17,"real",7
"621",400,0,17,"real",6
"622",300,0.5,17,"real",6
"623",0,0.5,17,"real",9
"624",200,1,4,"unreal",6
"625",100,1,17,"real",9
"626",200,0.5,4,"unreal",5
"627",300,1,4,"unreal",4
"628",300,1,17,"real",3
"629",400,1,4,"unreal",3
"630",0,0,4,"unreal",9
"631",0,1,4,"unreal",9
"632",100,1,4,"unreal",9
"633",100,0,4,"unreal",9
"634",200,0.5,17,"real",7
"635",400,1,4,"unreal",5
"636",300,0.5,4,"unreal",5
"637",200,0,17,"real",5
"638",400,0.5,4,"unreal",4
"639",100,0.5,17,"real",7
"640",200,1,17,"real",5
"641",200,0,4,"unreal",4
"642",100,0.5,4,"unreal",5
"643",400,1,17,"real",3
"644",100,0,17,"real",8
"645",300,1,4,"unreal",5
"646",0,0.5,4,"unreal",9
"647",400,0.5,17,"real",6
"648",300,0,4,"unreal",6
"649",0,0,4,"unreal",8
"650",400,0,4,"unreal",5
"651",200,0.5,4,"unreal",5
"652",200,1,4,"unreal",5
"653",300,0.5,17,"real",4
"654",100,1,17,"real",4
"655",0,1,17,"real",8
"656",300,1,17,"real",4
"657",400,0,17,"real",4
"658",300,0,17,"real",4
"659",0,0.5,17,"real",9
"660",0,0,17,"real",9
"661",200,0,17,"real",7
"662",0,1,17,"real",8
"663",200,1,17,"real",6
"664",100,1,17,"real",6
"665",0,0,17,"real",8
"666",300,1,17,"real",6
"667",400,0,17,"real",4
"668",0,0.5,4,"unreal",9
"669",0,0.5,17,"real",9
"670",200,0.5,17,"real",6
"671",100,1,4,"unreal",8
"672",100,0,17,"real",8
"673",100,0,4,"unreal",8
"674",300,1,4,"unreal",6
"675",0,0,4,"unreal",8
"676",400,0.5,4,"unreal",5
"677",400,1,4,"unreal",5
"678",0,1,4,"unreal",9
"679",300,0,17,"real",6
"680",400,1,17,"real",5
"681",400,0.5,17,"real",5
"682",300,0,4,"unreal",4
"683",100,0.5,4,"unreal",8
"684",200,0,4,"unreal",7
"685",200,0.5,4,"unreal",7
"686",300,0.5,4,"unreal",7
"687",400,0,4,"unreal",7
"688",100,0.5,17,"real",9
"689",200,1,4,"unreal",7
"690",300,0.5,17,"real",8
"691",200,0,4,"unreal",7
"692",400,0.5,4,"unreal",5
"693",200,0,17,"real",6
"694",100,1,4,"unreal",8
"695",300,1,17,"real",5
"696",0,1,17,"real",9
"697",0,0,17,"real",9
"698",400,0,17,"real",6
"699",300,0.5,4,"unreal",5
"700",100,0.5,4,"unreal",8
"701",300,0,17,"real",6
"702",100,0,4,"unreal",7
"703",400,1,4,"unreal",6
"704",300,1,4,"unreal",4
"705",0,0.5,4,"unreal",8
"706",300,0,4,"unreal",5
"707",200,0.5,17,"real",7
"708",0,0,4,"unreal",9
"709",100,1,17,"real",8
"710",400,0,4,"unreal",5
"711",200,1,17,"real",6
"712",100,0,17,"real",8
"713",400,0.5,17,"real",6
"714",0,1,4,"unreal",9
"715",400,1,17,"real",5
"716",200,0.5,4,"unreal",7
"717",100,0.5,17,"real",8
"718",0,0.5,17,"real",9
"719",200,1,4,"unreal",6
"720",300,0.5,17,"real",5
"721",100,1,4,"unreal",7
"722",100,1,17,"real",8
"723",400,0.5,4,"unreal",1
"724",300,0.5,17,"real",2
"725",300,0.5,4,"unreal",1
"726",200,0,17,"real",7
"727",300,0,17,"real",6
"728",0,1,17,"real",9
"729",200,0.5,4,"unreal",6
"730",200,0.5,17,"real",7
"731",100,0.5,17,"real",7
"732",100,0.5,4,"unreal",8
"733",300,1,4,"unreal",1
"734",400,1,4,"unreal",1
"735",0,0.5,4,"unreal",8
"736",200,0,4,"unreal",6
"737",200,1,17,"real",6
"738",400,1,17,"real",2
"739",400,0,17,"real",2
"740",400,0.5,17,"real",2
"741",100,0,4,"unreal",8
"742",0,0,17,"real",9
"743",0,0.5,17,"real",9
"744",300,1,17,"real",8
"745",400,0,4,"unreal",1
"746",100,0,17,"real",9
"747",200,1,4,"unreal",7
"748",0,0,4,"unreal",8
"749",300,0,4,"unreal",3
"750",0,1,4,"unreal",8
"751",200,1,4,"unreal",3
"752",300,1,4,"unreal",3
"753",400,1,17,"real",2
"754",400,0,17,"real",5
"755",0,0.5,4,"unreal",8
"756",300,0,4,"unreal",7
"757",0,1,4,"unreal",9
"758",200,1,17,"real",7
"759",400,1,4,"unreal",1
"760",400,0,4,"unreal",1
"761",100,0.5,4,"unreal",8
"762",100,1,4,"unreal",8
"763",300,0.5,4,"unreal",3
"764",400,0.5,4,"unreal",1
"765",100,0,4,"unreal",6
"766",100,0.5,17,"real",9
"767",200,0,4,"unreal",2
"768",200,0.5,4,"unreal",2
"769",300,1,17,"real",3
"770",200,0,17,"real",5
"771",100,1,17,"real",9
"772",200,0.5,17,"real",8
"773",300,0,17,"real",7
"774",400,0.5,17,"real",6
"775",100,0,17,"real",8
"776",0,0,4,"unreal",8
"777",0,0.5,17,"real",9
"778",0,0,17,"real",9
"779",0,1,17,"real",9
"780",300,0.5,17,"real",7
"781",200,0,17,"real",7
"782",100,1,4,"unreal",8
"783",300,0.5,17,"real",3
"784",200,0,4,"unreal",3
"785",100,0,17,"real",9
"786",0,1,17,"real",9
"787",300,0,17,"real",6
"788",300,0.5,4,"unreal",3
"789",200,0.5,4,"unreal",1
"790",100,0.5,4,"unreal",6
"791",400,0,4,"unreal",1
"792",400,1,4,"unreal",1
"793",300,1,4,"unreal",1
"794",200,0.5,17,"real",7
"795",0,1,4,"unreal",8
"796",0,0,17,"real",9
"797",0,0.5,17,"real",9
"798",0,0.5,4,"unreal",9
"799",200,1,4,"unreal",8
"800",200,1,17,"real",7
"801",300,0,4,"unreal",2
"802",400,1,17,"real",1
"803",400,0.5,4,"unreal",1
"804",0,0,4,"unreal",8
"805",100,0.5,17,"real",8
"806",100,1,17,"real",9
"807",100,0,4,"unreal",8
"808",300,1,17,"real",3
"809",400,0.5,17,"real",7
"810",400,0,17,"real",6
"811",300,1,17,"real",4
"812",0,0.5,17,"real",9
"813",0,0,17,"real",9
"814",200,0,17,"real",7
"815",300,0,17,"real",7
"816",100,0,17,"real",9
"817",400,0,17,"real",7
"818",0,1,17,"real",9
"819",400,0.5,4,"unreal",1
"820",0,1,4,"unreal",9
"821",200,0,4,"unreal",2
"822",100,0.5,17,"real",8
"823",300,0.5,17,"real",7
"824",0,0,4,"unreal",8
"825",100,1,4,"unreal",8
"826",400,0.5,17,"real",6
"827",100,0,4,"unreal",8
"828",400,0,4,"unreal",3
"829",300,1,4,"unreal",1
"830",200,1,4,"unreal",3
"831",200,0.5,4,"unreal",3
"832",300,0.5,4,"unreal",3
"833",100,0.5,4,"unreal",8
"834",400,1,4,"unreal",3
"835",200,1,17,"real",7
"836",300,0,4,"unreal",2
"837",0,0.5,4,"unreal",9
"838",200,0.5,17,"real",7
"839",400,1,17,"real",6
"840",100,1,17,"real",9
"841",200,1,17,"real",9
"842",300,1,4,"unreal",2
"843",200,0,4,"unreal",2
"844",200,0.5,17,"real",8
"845",300,0.5,4,"unreal",2
"846",0,0,17,"real",9
"847",400,1,4,"unreal",2
"848",400,0,17,"real",8
"849",100,0,17,"real",9
"850",0,0,4,"unreal",4
"851",300,0,17,"real",7
"852",100,0,4,"unreal",4
"853",200,1,4,"unreal",3
"854",0,0.5,4,"unreal",5
"855",100,1,4,"unreal",5
"856",400,0,4,"unreal",3
"857",0,1,4,"unreal",4
"858",100,0.5,17,"real",9
"859",200,0,17,"real",9
"860",100,0.5,4,"unreal",4
"861",400,0.5,4,"unreal",3
"862",200,0.5,4,"unreal",4
"863",300,0.5,17,"real",8
"864",0,1,17,"real",9
"865",300,0,4,"unreal",3
"866",300,1,17,"real",7
"867",400,0.5,17,"real",7
"868",100,1,17,"real",9
"869",400,1,17,"real",7
"870",0,0.5,17,"real",9
"871",400,0.5,17,"real",8
"872",300,0,4,"unreal",3
"873",200,0,17,"real",8
"874",200,0.5,4,"unreal",4
"875",100,0.5,4,"unreal",3
"876",100,1,17,"real",8
"877",200,0,4,"unreal",2
"878",400,0.5,4,"unreal",2
"879",300,0,17,"real",8
"880",0,1,17,"real",9
"881",200,0.5,17,"real",8
"882",100,1,4,"unreal",4
"883",0,0,4,"unreal",3
"884",100,0,17,"real",9
"885",400,1,17,"real",7
"886",300,1,4,"unreal",3
"887",200,1,4,"unreal",2
"888",400,1,4,"unreal",2
"889",400,0,4,"unreal",2
"890",0,0,17,"real",9
"891",0,0.5,4,"unreal",2
"892",100,0,4,"unreal",2
"893",100,0.5,17,"real",9
"894",0,1,4,"unreal",4
"895",200,1,17,"real",8
"896",0,0.5,17,"real",9
"897",400,0,17,"real",7
"898",300,0.5,4,"unreal",3
"899",300,1,17,"real",7
"900",300,0.5,17,"real",7
"901",200,1,17,"real",9
"902",100,1,4,"unreal",6
"903",100,0,4,"unreal",3
"904",0,0.5,4,"unreal",5
"905",400,0.5,4,"unreal",2
"906",0,0,17,"real",9
"907",200,0.5,17,"real",9
"908",300,0,17,"real",7
"909",200,0.5,4,"unreal",3
"910",400,1,4,"unreal",1
"911",300,0,4,"unreal",3
"912",400,0,17,"real",4
"913",400,0.5,17,"real",7
"914",200,1,4,"unreal",3
"915",300,0.5,4,"unreal",3
"916",300,1,4,"unreal",2
"917",200,0,17,"real",7
"918",300,1,17,"real",7
"919",200,0,4,"unreal",3
"920",100,0,17,"real",9
"921",100,1,17,"real",8
"922",0,1,4,"unreal",4
"923",400,0,4,"unreal",3
"924",100,0.5,17,"real",9
"925",100,0.5,4,"unreal",3
"926",0,0,4,"unreal",4
"927",0,1,17,"real",9
"928",400,1,17,"real",7
"929",0,0.5,17,"real",9
"930",300,0.5,17,"real",8
"931",200,1,4,"unreal",3
"932",300,0.5,17,"real",7
"933",100,1,4,"unreal",3
"934",200,0,17,"real",8
"935",400,0,17,"real",7
"936",300,0.5,4,"unreal",4
"937",300,1,4,"unreal",3
"938",400,1,17,"real",7
"939",0,0,4,"unreal",4
"940",0,1,17,"real",9
"941",100,0.5,4,"unreal",3
"942",100,0,4,"unreal",4
"943",0,1,4,"unreal",4
"944",200,1,17,"real",7
"945",400,0,4,"unreal",4
"946",100,0.5,17,"real",9
"947",200,0,4,"unreal",4
"948",0,0,17,"real",9
"949",200,0.5,17,"real",7
"950",100,1,17,"real",9
"951",300,0,17,"real",7
"952",400,0.5,17,"real",8
"953",200,0.5,4,"unreal",2
"954",400,1,4,"unreal",1
"955",300,1,17,"real",7
"956",100,0,17,"real",9
"957",0,0.5,4,"unreal",3
"958",300,0,4,"unreal",2
"959",400,0.5,4,"unreal",2
"960",0,0.5,17,"real",8
"961",400,0,17,"real",3
"962",100,1,4,"unreal",3
"963",100,0,17,"real",5
"964",100,1,17,"real",5
"965",200,0.5,4,"unreal",1
"966",400,1,4,"unreal",1
"967",100,0.5,4,"unreal",1
"968",0,0.5,17,"real",9
"969",300,1,4,"unreal",1
"970",300,0.5,17,"real",5
"971",200,0.5,17,"real",5
"972",0,0.5,4,"unreal",9
"973",0,1,17,"real",9
"974",200,1,4,"unreal",1
"975",400,0.5,17,"real",3
"976",400,0,4,"unreal",1
"977",0,1,4,"unreal",9
"978",300,0,17,"real",3
"979",300,1,17,"real",4
"980",0,0,4,"unreal",8
"981",200,0,17,"real",5
"982",300,0.5,4,"unreal",1
"983",200,0,4,"unreal",1
"984",400,1,17,"real",3
"985",200,1,17,"real",3
"986",100,0.5,17,"real",9
"987",300,0,4,"unreal",1
"988",400,0.5,4,"unreal",1
"989",0,0,17,"real",9
"990",100,0,4,"unreal",7
"991",200,1,17,"real",5
"992",100,1,17,"real",7
"993",300,1,17,"real",5
"994",300,0.5,4,"unreal",1
"995",200,0,4,"unreal",1
"996",100,0,4,"unreal",1
"997",300,0,4,"unreal",1
