"","block","signals","offset","response"
"1709","kinesVibro",3,500,0
"1710","kinesVibro",3,100,1
"1711","kinesVibro",3,0,1
"1712","kinesVibro",3,300,0
"1713","kinesVibro",3,200,0
"1714","kinesVibro",3,600,0
"1715","kinesVibro",3,500,0
"1716","kinesVibro",3,100,1
"1717","kinesVibro",3,600,0
"1718","kinesVibro",3,400,0
"1719","kinesVibro",3,400,0
"1720","kinesVibro",3,200,0
"1721","kinesVibro",3,500,0
"1722","kinesVibro",3,400,0
"1723","kinesthetic",2,400,0
"1724","kinesthetic",2,600,0
"1725","kinesthetic",2,300,0
"1726","kinesthetic",2,100,1
"1727","kinesthetic",2,400,0
"1728","kinesthetic",2,200,0
"1729","kinesthetic",2,600,0
"1730","kinesthetic",2,300,0
"1731","kinesthetic",2,200,0
"1732","kinesthetic",2,0,0
"1733","kinesthetic",2,400,0
"1734","kinesthetic",2,100,1
"1735","kinesthetic",2,300,0
"1736","kinesthetic",2,300,0
"1737","kinesthetic",2,500,0
"1738","kinesthetic",2,200,1
"1739","kinesthetic",2,100,1
"1740","kinesthetic",2,500,0
"1741","kinesthetic",2,600,0
"1742","kinesthetic",2,400,0
"1743","kinesthetic",2,300,0
"1744","kinesthetic",2,400,0
"1745","kinesthetic",2,0,1
"1746","kinesthetic",2,500,0
"1747","kinesthetic",2,0,1
"1748","kinesthetic",2,600,0
"1749","kinesthetic",2,100,1
"1750","kinesthetic",2,100,1
"1751","kinesthetic",2,600,0
"1752","kinesthetic",2,200,1
"1753","kinesthetic",2,400,0
"1754","kinesthetic",2,0,1
"1755","kinesthetic",2,500,0
"1756","kinesthetic",2,500,0
"1757","kinesthetic",2,500,0
"1758","kinesthetic",2,100,1
"1759","kinesthetic",2,0,1
"1760","kinesthetic",2,200,0
"1761","kinesthetic",2,200,0
"1762","kinesthetic",2,600,0
"1763","kinesthetic",2,0,1
"1764","kinesthetic",2,300,0
"1765","vibro",2,200,1
"1766","vibro",2,0,1
"1767","vibro",2,0,1
"1768","vibro",2,0,1
"1769","vibro",2,500,0
"1770","vibro",2,100,0
"1771","vibro",2,300,0
"1772","vibro",2,0,1
"1773","vibro",2,300,0
"1774","vibro",2,100,1
"1775","vibro",2,200,1
"1776","vibro",2,100,1
"1777","vibro",2,400,0
"1778","vibro",2,100,1
"1779","vibro",2,500,0
"1780","vibro",2,0,1
"1781","vibro",2,300,1
"1782","vibro",2,400,1
"1783","vibro",2,600,1
"1784","vibro",2,500,0
"1785","vibro",2,400,0
"1786","vibro",2,0,1
"1787","vibro",2,400,1
"1788","vibro",2,300,1
"1789","vibro",2,600,0
"1790","vibro",2,500,0
"1791","vibro",2,500,0
"1792","vibro",2,400,0
"1793","vibro",2,400,0
"1794","vibro",2,600,0
"1795","vibro",2,600,0
"1796","vibro",2,300,0
"1797","vibro",2,200,0
"1798","vibro",2,200,1
"1799","vibro",2,100,1
"1800","vibro",2,600,0
"1801","vibro",2,200,0
"1802","vibro",2,500,0
"1803","vibro",2,200,0
"1804","vibro",2,300,0
"1805","vibro",2,600,0
"1806","vibro",2,100,1
"1807","audioVibro",3,0,1
"1808","audioVibro",3,100,1
"1809","audioVibro",3,300,0
"1810","audioVibro",3,200,1
"1811","audioVibro",3,100,1
"1812","audioVibro",3,100,1
"1813","audioVibro",3,300,0
"1814","audioVibro",3,300,0
"1815","audioVibro",3,500,0
"1816","audioVibro",3,0,1
"1817","audioVibro",3,600,0
"1818","audioVibro",3,200,0
"1819","audioVibro",3,400,0
"1820","audioVibro",3,600,0
"1821","audioVibro",3,200,0
"1822","audioVibro",3,600,0
"1823","audioVibro",3,500,0
"1824","audioVibro",3,300,0
"1825","audioVibro",3,100,1
"1826","audioVibro",3,400,0
"1827","audioVibro",3,200,0
"1828","audioVibro",3,500,0
"1829","audioVibro",3,0,1
"1830","audioVibro",3,300,0
"1831","audioVibro",3,600,0
"1832","audioVibro",3,0,1
"1833","audioVibro",3,300,0
"1834","audioVibro",3,400,0
"1835","audioVibro",3,100,1
"1836","audioVibro",3,100,0
"1837","audioVibro",3,200,0
"1838","audioVibro",3,0,1
"1839","audioVibro",3,500,0
"1840","audioVibro",3,400,0
"1841","audioVibro",3,400,0
"1842","audioVibro",3,200,0
"1843","audioVibro",3,400,0
"1844","audioVibro",3,500,0
"1845","audioVibro",3,600,0
"1846","audioVibro",3,0,1
"1847","audioVibro",3,600,0
"1848","audioVibro",3,500,0
"1849","visual",1,0,1
"1850","visual",1,200,0
"1851","visual",1,0,1
"1852","visual",1,100,0
"1853","visual",1,0,1
"1854","visual",1,400,0
"1855","visual",1,100,0
"1856","visual",1,100,0
"1857","visual",1,300,0
"1858","visual",1,0,1
"1859","visual",1,600,0
"1860","visual",1,200,0
"1861","visual",1,100,0
"1862","visual",1,500,0
"1863","visual",1,600,0
"1864","visual",1,500,0
"1865","visual",1,0,0
"1866","visual",1,400,0
"1867","visual",1,200,0
"1868","visual",1,300,0
"1869","visual",1,100,0
"1870","visual",1,400,0
"1871","visual",1,500,0
"1872","visual",1,600,0
"1873","visual",1,300,0
"1874","visual",1,500,0
"1875","visual",1,100,0
"1876","visual",1,400,0
"1877","visual",1,200,0
"1878","visual",1,500,0
"1879","visual",1,300,0
"1880","visual",1,400,0
"1881","visual",1,300,0
"1882","visual",1,400,0
"1883","visual",1,500,0
"1884","visual",1,200,0
"1885","visual",1,600,0
"1886","visual",1,200,0
"1887","visual",1,0,1
"1888","visual",1,300,0
"1889","visual",1,600,0
"1890","visual",1,600,0
"1891","audioKinesVibro",4,200,0
"1892","audioKinesVibro",4,600,0
"1893","audioKinesVibro",4,400,0
"1894","audioKinesVibro",4,100,0
"1895","audioKinesVibro",4,100,0
"1896","audioKinesVibro",4,600,0
"1897","audioKinesVibro",4,400,0
"1898","audioKinesVibro",4,500,0
"1899","audioKinesVibro",4,400,0
"1900","audioKinesVibro",4,600,0
"1901","audioKinesVibro",4,100,1
"1902","audioKinesVibro",4,500,0
"1903","audioKinesVibro",4,200,0
"1904","audioKinesVibro",4,200,1
"1905","audioKinesVibro",4,200,0
"1906","audioKinesVibro",4,400,0
"1907","audioKinesVibro",4,100,0
"1908","audioKinesVibro",4,0,1
"1909","audioKinesVibro",4,500,0
"1910","audioKinesVibro",4,500,0
"1911","audioKinesVibro",4,300,0
"1912","audioKinesVibro",4,300,0
